id,query
1,"I need a hearty gluten-free American dinner recipe for my family tonight"
2,"What are some crowd-pleasing vegan Mexican appetizers for my party?"
3,"How do I make authentic Thai iced tea without using dairy?"
4,"Can you suggest a traditional Indian sweet that's safe for someone with celiac disease?"
5,"I'm craving fancy French cuisine but I'm plant-based - any main dish ideas?"
6,"Quick dairy-free finger foods for a Fourth of July barbecue?"
7,"What's a good gluten-free alternative to beer-based Mexican cocktails?"
8,"I want to try making Thai mango sticky rice but without any animal products"
9,"Help! I love Indian curries but I'm lactose intolerant - what can I make?"
10,"Elegant gluten-free hors d'oeuvres with a French twist?"
11,"What's a classic American drink I can make without dairy for brunch?"
12,"My kid loves tres leches cake but has a milk allergy - any alternatives?"
13,"I'm avoiding wheat but miss pad thai - is there a gluten-free version?"
14,"What are some authentic Indian starters that are naturally plant-based?"
15,"Can you make a French café au lait style drink without regular milk?"
16,"I want to bake a classic American pie but need it wheat-free"
17,"What's a filling vegan Mexican dinner that's not just beans and rice?"
18,"Fresh Thai spring rolls without any dairy ingredients?"
19,"Is there a traditional Indian drink that's naturally gluten-free?"
20,"I'm dreaming of French pastries but I'm vegan - what are my options?"
